x; y; z; vx; vy; vz; phi; teta; psi; omegaX; omegaY; omegaZ
0.279035;-1.131359;-0.052954;-1.983542;-2.684769;-2.470508;0.025882;1.951513;8.596590;-4.033374;-0.122842;-0.042361
0.280664;-1.146916;-0.049337;-1.976075;-2.681937;-2.476136;0.025882;1.951513;8.500908;-4.040184;-0.122774;-0.046684
0.281159;-1.180561;-0.059892;-1.970117;-2.657540;-2.466069;0.025882;1.951513;8.334171;-4.049202;-0.122683;-0.051022
0.284009;-1.197786;-0.054295;-1.974035;-2.659440;-2.464460;0.025882;1.951512;8.140941;-4.056034;-0.122615;-0.055181
0.287050;-1.213781;-0.054093;-1.979864;-2.660991;-2.463905;0.025882;1.951512;7.964649;-4.059197;-0.122583;-0.056765
0.288938;-1.229270;-0.054730;-1.986050;-2.656342;-2.460813;0.025882;1.951512;7.858535;-4.056786;-0.122607;-0.055738
0.291137;-1.246923;-0.057099;-1.993261;-2.650719;-2.455237;0.025882;1.951512;7.751278;-4.057062;-0.122604;-0.056032
0.294391;-1.268513;-0.049268;-2.002076;-2.642973;-2.463110;0.025882;1.951511;7.578368;-4.062214;-0.122552;-0.058550
0.296622;-1.286788;-0.054766;-2.010688;-2.640515;-2.460743;0.025882;1.951511;7.518840;-4.055659;-0.122618;-0.054910
0.298737;-1.302883;-0.054887;-2.018915;-2.637193;-2.457236;0.025882;1.951511;7.536837;-4.048057;-0.122695;-0.050407
0.300850;-1.318484;-0.053529;-2.024700;-2.638244;-2.457340;0.025882;1.951511;7.533606;-4.046104;-0.122715;-0.049409
0.298227;-1.334827;-0.048850;-2.021848;-2.642756;-2.464454;0.025882;1.951511;7.466431;-4.048846;-0.122687;-0.050594
0.295444;-1.347935;-0.053776;-2.020803;-2.648766;-2.463220;0.025882;1.951510;7.483526;-4.042699;-0.122749;-0.047443
0.292479;-1.358242;-0.053506;-2.019075;-2.657059;-2.462674;0.025882;1.951510;7.687277;-4.026282;-0.122913;-0.038924
0.292631;-1.370542;-0.056546;-2.018588;-2.660448;-2.457424;0.025882;1.951510;8.264357;-3.990778;-0.123263;-0.018618
0.292047;-1.384867;-0.051912;-2.006191;-2.666481;-2.461141;0.025882;1.951510;8.642508;-3.989565;-0.123274;-0.017943
0.294901;-1.397048;-0.052635;-1.995380;-2.678889;-2.463612;0.025882;1.951510;8.938018;-3.989144;-0.123278;-0.017969
0.301392;-1.410494;-0.054598;-1.986748;-2.688021;-2.463049;0.025882;1.951509;9.150107;-3.992772;-0.123242;-0.020025
0.311775;-1.426962;-0.054209;-1.980627;-2.693514;-2.464018;0.025882;1.951509;9.505908;-3.982174;-0.123346;-0.014995
0.322060;-1.444301;-0.051156;-1.969937;-2.697838;-2.469308;0.025882;1.951509;9.498200;-4.005955;-0.123112;-0.028020
0.328902;-1.458399;-0.050599;-1.955262;-2.707444;-2.474432;0.025882;1.951509;9.400327;-4.020397;-0.122969;-0.035571
0.336201;-1.471281;-0.051523;-1.947731;-2.711876;-2.476952;0.025882;1.951508;9.173765;-4.038584;-0.122788;-0.046005
0.342908;-1.485953;-0.052609;-1.944913;-2.708783;-2.477010;0.025882;1.951508;8.790276;-4.060635;-0.122566;-0.059022
0.346172;-1.500057;-0.050372;-1.943495;-2.705416;-2.480335;0.025882;1.951508;8.375211;-4.075291;-0.122417;-0.066754
0.348544;-1.514314;-0.051759;-1.948727;-2.700403;-2.480689;0.025882;1.951508;8.353968;-4.055755;-0.122615;-0.056304
0.350034;-1.531633;-0.050876;-1.952420;-2.689695;-2.481855;0.025882;1.951508;8.298300;-4.054822;-0.122625;-0.055440
0.348890;-1.547183;-0.049319;-1.952771;-2.684965;-2.484798;0.025882;1.951507;7.993094;-4.072024;-0.122451;-0.064328
0.347081;-1.562316;-0.053135;-1.958178;-2.679687;-2.481434;0.025882;1.951507;7.654499;-4.080448;-0.122365;-0.068166
0.344993;-1.578620;-0.051718;-1.968159;-2.670346;-2.480337;0.025882;1.951507;7.331690;-4.084714;-0.122321;-0.070096
0.342387;-1.592010;-0.048313;-1.980755;-2.662736;-2.483956;0.025882;1.951507;6.945160;-4.093240;-0.122233;-0.075514
0.341521;-1.621292;-0.057305;-2.001315;-2.656722;-2.479575;0.025882;1.951507;6.772225;-4.081765;-0.122350;-0.068532
0.340744;-1.639330;-0.053650;-2.020192;-2.657717;-2.477542;0.025882;1.951506;6.683152;-4.072828;-0.122441;-0.063203
0.341003;-1.656596;-0.047082;-2.036955;-2.650205;-2.481047;0.025882;1.951506;6.602520;-4.067788;-0.122493;-0.060156
0.344545;-1.677528;-0.053105;-2.056421;-2.633781;-2.475922;0.025882;1.951506;6.380469;-4.074889;-0.122421;-0.063791
0.343619;-1.696748;-0.056484;-2.068314;-2.616676;-2.464710;0.025882;1.951506;6.728838;-4.033061;-0.122842;-0.038638
0.353916;-1.722280;-0.052996;-2.089702;-2.604578;-2.462970;0.025882;1.951505;7.056096;-4.019138;-0.122982;-0.032453
0.359173;-1.749888;-0.049248;-2.091996;-2.597705;-2.466705;0.025882;1.951505;6.837532;-4.049358;-0.122679;-0.048597
0.361765;-1.762105;-0.063950;-2.094778;-2.612113;-2.447344;0.025882;1.951505;6.575984;-4.059832;-0.122574;-0.055083
0.372449;-1.785325;-0.065404;-2.114491;-2.599378;-2.429721;0.025882;1.951505;6.451520;-4.056194;-0.122611;-0.053591
0.373507;-1.800948;-0.053224;-2.114891;-2.595946;-2.432756;0.025882;1.951505;6.297648;-4.059611;-0.122577;-0.057496
0.373559;-1.816348;-0.056702;-2.117593;-2.592562;-2.428675;0.025882;1.951504;6.171645;-4.059257;-0.122581;-0.057984
0.379972;-1.835908;-0.054106;-2.135288;-2.579940;-2.430317;0.025882;1.951504;5.826727;-4.076377;-0.122407;-0.070685
0.381236;-1.856929;-0.066304;-2.143545;-2.561696;-2.405509;0.025882;1.951504;5.296207;-4.097139;-0.122194;-0.087344
0.378847;-1.873862;-0.050964;-2.152668;-2.554533;-2.417222;0.025882;1.951504;4.879893;-4.098969;-0.122174;-0.088176
0.377187;-1.888728;-0.046231;-2.168691;-2.543090;-2.435267;0.025882;1.951504;4.720875;-4.084231;-0.122324;-0.077812
